"","...1","ID","stim_ID","GW","GAL","NGW","NGL","jitter1","jitter2","RT","outcomefeed","condition","session","response","GoResponse","Cue","req_action","correct","trial_number","block","TrialCount","feedback","OutValence","salient","followup_beha","correct_feedback","followup_response","next_action","next_action_binary"
"63",250,"AAAA0432",16,16,15,14,13,2512,959,580,1,"a.sham",3,"press",1,"GW","Go",1,250,4,3,"win","Win","win","press",1,"press","press",1
"64",253,"AAAA0432",16,16,15,14,13,2086,998,570,1,"a.sham",3,"press",1,"GW","Go",1,253,4,4,"win","Win","win","press",1,"press","press",1
"65",260,"AAAA0432",16,16,15,14,13,1925,934,594,1,"a.sham",3,"press",1,"GW","Go",1,260,4,5,"win","Win","win","press",1,"press","press",1
"66",262,"AAAA0432",16,16,15,14,13,2225,847,566,1,"a.sham",3,"press",1,"GW","Go",1,262,4,6,"win","Win","win","press",1,"press","press",1
"67",268,"AAAA0432",16,16,15,14,13,3045,628,443,0,"a.sham",3,"press",1,"GW","Go",1,268,4,7,"neutral","Win",NA,"press",0,NA,"press",1
"68",273,"AAAA0432",16,16,15,14,13,1699,846,562,1,"a.sham",3,"press",1,"GW","Go",1,273,4,8,"win","Win","win","press",1,"press","press",1
"69",274,"AAAA0432",16,16,15,14,13,2923,774,559,1,"a.sham",3,"press",1,"GW","Go",1,274,4,9,"win","Win","win","press",1,"press","press",1
"70",281,"AAAA0432",16,16,15,14,13,2369,506,464,1,"a.sham",3,"press",1,"GW","Go",1,281,4,10,"win","Win","win","press",1,"press","press",1
"71",282,"AAAA0432",16,16,15,14,13,1305,729,539,1,"a.sham",3,"press",1,"GW","Go",1,282,4,11,"win","Win","win","press",1,"press","press",1
"72",286,"AAAA0432",16,16,15,14,13,1563,675,527,0,"a.sham",3,"press",1,"GW","Go",1,286,4,12,"neutral","Win",NA,"press",0,NA,"press",1
"73",287,"AAAA0432",16,16,15,14,13,1498,729,475,1,"a.sham",3,"press",1,"GW","Go",1,287,4,13,"win","Win","win","press",1,"press","press",1
"74",289,"AAAA0432",16,16,15,14,13,2559,821,563,1,"a.sham",3,"press",1,"GW","Go",1,289,4,14,"win","Win","win","press",1,"press","press",1
"75",297,"AAAA0432",16,16,15,14,13,1477,513,392,1,"a.sham",3,"press",1,"GW","Go",1,297,4,15,"win","Win","win","press",1,"press","press",1
"76",302,"AAAA0432",16,16,15,14,13,2305,561,451,0,"a.sham",3,"press",1,"GW","Go",1,302,4,16,"neutral","Win",NA,"press",0,NA,"press",1
"77",308,"AAAA0432",16,16,15,14,13,1525,641,486,0,"a.sham",3,"press",1,"GW","Go",1,308,4,17,"neutral","Win",NA,"press",0,NA,"press",1
"78",310,"AAAA0432",16,16,15,14,13,2071,960,505,1,"a.sham",3,"press",1,"GW","Go",1,310,4,18,"win","Win","win","press",1,"press","press",1
"79",313,"AAAA0432",16,16,15,14,13,1629,671,516,1,"a.sham",3,"press",1,"GW","Go",1,313,4,19,"win","Win","win","press",1,"press","press",1
"80",317,"AAAA0432",16,16,15,14,13,1923,521,546,1,"a.sham",3,"press",1,"GW","Go",1,317,4,20,"win","Win","win",NA,1,NA,NA,NA
"81",321,"BNVN0020",4,4,1,2,3,3412,990,0,0,"a.sham",1,"no_press",0,"GW","Go",0,1,1,1,"neutral","Win",NA,"no_press",1,"no_press","no_press",0
"82",324,"BNVN0020",4,4,1,2,3,2253,891,0,0,"a.sham",1,"no_press",0,"GW","Go",0,4,1,2,"neutral","Win",NA,"press",1,"press","press",1
"83",339,"BNVN0020",4,4,1,2,3,2224,608,680,1,"a.sham",1,"press",1,"GW","Go",1,19,1,3,"win","Win","win","no_press",1,"no_press","no_press",0
"84",343,"BNVN0020",4,4,1,2,3,1249,755,0,0,"a.sham",1,"no_press",0,"GW","Go",0,23,1,4,"neutral","Win",NA,"no_press",1,"no_press","no_press",0
"85",345,"BNVN0020",4,4,1,2,3,1598,752,0,0,"a.sham",1,"no_press",0,"GW","Go",0,25,1,5,"neutral","Win",NA,"no_press",1,"no_press","no_press",0
"86",347,"BNVN0020",4,4,1,2,3,2066,743,0,0,"a.sham",1,"no_press",0,"GW","Go",0,27,1,6,"neutral","Win",NA,"no_press",1,"no_press","no_press",0
"87",352,"BNVN0020",4,4,1,2,3,1598,939,0,0,"a.sham",1,"no_press",0,"GW","Go",0,32,1,7,"neutral","Win",NA,"no_press",1,"no_press","no_press",0
"88",356,"BNVN0020",4,4,1,2,3,2386,868,0,0,"a.sham",1,"no_press",0,"GW","Go",0,36,1,8,"neutral","Win",NA,"press",1,"press","press",1
"89",357,"BNVN0020",4,4,1,2,3,2288,864,844,0,"a.sham",1,"press",1,"GW","Go",1,37,1,9,"neutral","Win",NA,"press",0,NA,"press",1
"90",364,"BNVN0020",4,4,1,2,3,2664,887,1052,1,"a.sham",1,"press",1,"GW","Go",1,44,1,10,"win","Win","win","press",1,"press","press",1
"91",375,"BNVN0020",4,4,1,2,3,1938,538,968,1,"a.sham",1,"press",1,"GW","Go",1,55,1,11,"win","Win","win","press",1,"press","press",1
"92",377,"BNVN0020",4,4,1,2,3,1954,549,1356,1,"a.sham",1,"press",1,"GW","Go",1,57,1,12,"win","Win","win","press",1,"press","press",1
"93",380,"BNVN0020",4,4,1,2,3,2132,951,895,0,"a.sham",1,"press",1,"GW","Go",1,60,1,13,"neutral","Win",NA,"press",0,NA,"press",1
"94",386,"BNVN0020",4,4,1,2,3,2701,870,783,0,"a.sham",1,"press",1,"GW","Go",1,66,1,14,"neutral","Win",NA,"press",0,NA,"press",1
"95",388,"BNVN0020",4,4,1,2,3,1729,610,724,1,"a.sham",1,"press",1,"GW","Go",1,68,1,15,"win","Win","win","press",1,"press","press",1
"96",390,"BNVN0020",4,4,1,2,3,2262,829,688,0,"a.sham",1,"press",1,"GW","Go",1,70,1,16,"neutral","Win",NA,"press",0,NA,"press",1
"97",393,"BNVN0020",4,4,1,2,3,1289,790,656,1,"a.sham",1,"press",1,"GW","Go",1,73,1,17,"win","Win","win","press",1,"press","press",1
"98",396,"BNVN0020",4,4,1,2,3,2121,936,581,1,"a.sham",1,"press",1,"GW","Go",1,76,1,18,"win","Win","win","press",1,"press","press",1
"99",397,"BNVN0020",4,4,1,2,3,1851,777,762,1,"a.sham",1,"press",1,"GW","Go",1,77,1,19,"win","Win","win","press",1,"press","press",1
"100",399,"BNVN0020",4,4,1,2,3,3385,823,837,1,"a.sham",1,"press",1,"GW","Go",1,79,1,20,"win","Win","win","press",1,"press",NA,NA
"101",401,"BNVN0020",6,6,7,8,5,1465,843,1397,1,"a.sham",1,"press",1,"GW","Go",1,81,2,1,"win","Win","win","press",1,"press","press",1
"102",408,"BNVN0020",6,6,7,8,5,1403,831,542,0,"a.sham",1,"press",1,"GW","Go",1,88,2,2,"neutral","Win",NA,"press",0,NA,"press",1
