"","...1","ID","stim_ID","GW","GAL","NGW","NGL","jitter1","jitter2","RT","outcomefeed","condition","session","response","GoResponse","Cue","req_action","correct","trial_number","block","TrialCount","feedback","OutValence","salient","followup_beha","correct_feedback","followup_response","next_action","next_action_binary"
"1654",6615,"SINB0180",10,10,11,12,9,1407,562,986,1,"a.sham",1,"press",1,"GW","Go",1,215,3,14,"win","Win","win","press",1,"press","press",1
"1655",6618,"SINB0180",10,10,11,12,9,1552,993,1222,0,"a.sham",1,"press",1,"GW","Go",1,218,3,15,"neutral","Win",NA,"press",0,NA,"press",1
"1656",6631,"SINB0180",10,10,11,12,9,1326,903,786,1,"a.sham",1,"press",1,"GW","Go",1,231,3,16,"win","Win","win","press",1,"press","press",1
"1657",6637,"SINB0180",10,10,11,12,9,2074,713,776,1,"a.sham",1,"press",1,"GW","Go",1,237,3,17,"win","Win","win","press",1,"press","press",1
"1658",6638,"SINB0180",10,10,11,12,9,1723,778,761,0,"a.sham",1,"press",1,"GW","Go",1,238,3,18,"neutral","Win",NA,"press",0,NA,"press",1
"1659",6639,"SINB0180",10,10,11,12,9,1951,568,620,1,"a.sham",1,"press",1,"GW","Go",1,239,3,19,"win","Win","win","press",1,"press","press",1
"1660",6640,"SINB0180",10,10,11,12,9,2357,789,858,1,"a.sham",1,"press",1,"GW","Go",1,240,3,20,"win","Win","win","press",1,"press",NA,NA
"1661",6643,"SINB0180",14,14,13,16,15,2099,721,1053,1,"a.sham",1,"press",1,"GW","Go",1,243,4,1,"win","Win","win","press",1,"press","press",1
"1662",6645,"SINB0180",14,14,13,16,15,2503,825,796,1,"a.sham",1,"press",1,"GW","Go",1,245,4,2,"win","Win","win","press",1,"press","press",1
"1663",6647,"SINB0180",14,14,13,16,15,2692,544,614,1,"a.sham",1,"press",1,"GW","Go",1,247,4,3,"win","Win","win","press",1,"press","press",1
"1664",6649,"SINB0180",14,14,13,16,15,2315,928,686,1,"a.sham",1,"press",1,"GW","Go",1,249,4,4,"win","Win","win","press",1,"press","press",1
"1665",6657,"SINB0180",14,14,13,16,15,1861,958,707,0,"a.sham",1,"press",1,"GW","Go",1,257,4,5,"neutral","Win",NA,"press",0,NA,"press",1
"1666",6660,"SINB0180",14,14,13,16,15,2080,508,671,0,"a.sham",1,"press",1,"GW","Go",1,260,4,6,"neutral","Win",NA,"press",0,NA,"press",1
"1667",6664,"SINB0180",14,14,13,16,15,2306,648,596,1,"a.sham",1,"press",1,"GW","Go",1,264,4,7,"win","Win","win","press",1,"press","press",1
"1668",6665,"SINB0180",14,14,13,16,15,1889,532,512,1,"a.sham",1,"press",1,"GW","Go",1,265,4,8,"win","Win","win","press",1,"press","press",1
"1669",6670,"SINB0180",14,14,13,16,15,1576,541,492,1,"a.sham",1,"press",1,"GW","Go",1,270,4,9,"win","Win","win","press",1,"press","press",1
"1670",6675,"SINB0180",14,14,13,16,15,2785,724,645,1,"a.sham",1,"press",1,"GW","Go",1,275,4,10,"win","Win","win","press",1,"press","press",1
"1671",6682,"SINB0180",14,14,13,16,15,2139,638,1042,0,"a.sham",1,"press",1,"GW","Go",1,282,4,11,"neutral","Win",NA,"press",0,NA,"press",1
"1672",6686,"SINB0180",14,14,13,16,15,2942,903,569,1,"a.sham",1,"press",1,"GW","Go",1,286,4,12,"win","Win","win","press",1,"press","press",1
"1673",6688,"SINB0180",14,14,13,16,15,1888,616,759,1,"a.sham",1,"press",1,"GW","Go",1,288,4,13,"win","Win","win","press",1,"press","press",1
"1674",6690,"SINB0180",14,14,13,16,15,2008,694,536,1,"a.sham",1,"press",1,"GW","Go",1,290,4,14,"win","Win","win","press",1,"press","press",1
"1675",6692,"SINB0180",14,14,13,16,15,5000,913,669,1,"a.sham",1,"press",1,"GW","Go",1,292,4,15,"win","Win","win","press",1,"press","press",1
"1676",6699,"SINB0180",14,14,13,16,15,3876,860,582,1,"a.sham",1,"press",1,"GW","Go",1,299,4,16,"win","Win","win","press",1,"press","press",1
"1677",6710,"SINB0180",14,14,13,16,15,1474,959,569,1,"a.sham",1,"press",1,"GW","Go",1,310,4,17,"win","Win","win","press",1,"press","press",1
"1678",6715,"SINB0180",14,14,13,16,15,1403,801,566,1,"a.sham",1,"press",1,"GW","Go",1,315,4,18,"win","Win","win","press",1,"press","press",1
"1679",6716,"SINB0180",14,14,13,16,15,2719,969,469,1,"a.sham",1,"press",1,"GW","Go",1,316,4,19,"win","Win","win","press",1,"press","press",1
"1680",6719,"SINB0180",14,14,13,16,15,1615,624,985,0,"a.sham",1,"press",1,"GW","Go",1,319,4,20,"neutral","Win",NA,NA,0,NA,NA,NA
"1681",6726,"SMLV0104",2,2,1,4,3,1585,579,0,0,"a.sham",2,"no_press",0,"GW","Go",0,6,1,1,"neutral","Win",NA,"press",1,"press","press",1
"1682",6730,"SMLV0104",2,2,1,4,3,1551,783,730,1,"a.sham",2,"press",1,"GW","Go",1,10,1,2,"win","Win","win","press",1,"press","press",1
"1683",6732,"SMLV0104",2,2,1,4,3,2173,790,1280,1,"a.sham",2,"press",1,"GW","Go",1,12,1,3,"win","Win","win","press",1,"press","press",1
"1684",6733,"SMLV0104",2,2,1,4,3,2958,694,847,1,"a.sham",2,"press",1,"GW","Go",1,13,1,4,"win","Win","win","press",1,"press","press",1
"1685",6735,"SMLV0104",2,2,1,4,3,1857,779,893,1,"a.sham",2,"press",1,"GW","Go",1,15,1,5,"win","Win","win","press",1,"press","press",1
"1686",6737,"SMLV0104",2,2,1,4,3,1510,715,705,1,"a.sham",2,"press",1,"GW","Go",1,17,1,6,"win","Win","win","press",1,"press","press",1
"1687",6744,"SMLV0104",2,2,1,4,3,1833,950,461,1,"a.sham",2,"press",1,"GW","Go",1,24,1,7,"win","Win","win","press",1,"press","press",1
"1688",6748,"SMLV0104",2,2,1,4,3,1985,757,740,1,"a.sham",2,"press",1,"GW","Go",1,28,1,8,"win","Win","win","press",1,"press","press",1
"1689",6757,"SMLV0104",2,2,1,4,3,1706,929,556,1,"a.sham",2,"press",1,"GW","Go",1,37,1,9,"win","Win","win","press",1,"press","press",1
"1690",6767,"SMLV0104",2,2,1,4,3,2689,501,525,0,"a.sham",2,"press",1,"GW","Go",1,47,1,10,"neutral","Win",NA,"press",0,NA,"press",1
"1691",6773,"SMLV0104",2,2,1,4,3,2898,913,523,1,"a.sham",2,"press",1,"GW","Go",1,53,1,11,"win","Win","win","press",1,"press","press",1
"1692",6777,"SMLV0104",2,2,1,4,3,2076,528,622,1,"a.sham",2,"press",1,"GW","Go",1,57,1,12,"win","Win","win","press",1,"press","press",1
"1693",6780,"SMLV0104",2,2,1,4,3,2640,847,438,1,"a.sham",2,"press",1,"GW","Go",1,60,1,13,"win","Win","win","press",1,"press","press",1
"1694",6782,"SMLV0104",2,2,1,4,3,2260,731,590,0,"a.sham",2,"press",1,"GW","Go",1,62,1,14,"neutral","Win",NA,"press",0,NA,"press",1
"1695",6787,"SMLV0104",2,2,1,4,3,2763,786,568,1,"a.sham",2,"press",1,"GW","Go",1,67,1,15,"win","Win","win","press",1,"press","press",1
"1696",6792,"SMLV0104",2,2,1,4,3,2572,705,528,0,"a.sham",2,"press",1,"GW","Go",1,72,1,16,"neutral","Win",NA,"press",0,NA,"press",1
"1697",6793,"SMLV0104",2,2,1,4,3,2583,526,566,1,"a.sham",2,"press",1,"GW","Go",1,73,1,17,"win","Win","win","press",1,"press","press",1
"1698",6795,"SMLV0104",2,2,1,4,3,1782,798,596,1,"a.sham",2,"press",1,"GW","Go",1,75,1,18,"win","Win","win","press",1,"press","press",1
"1699",6799,"SMLV0104",2,2,1,4,3,1254,894,446,0,"a.sham",2,"press",1,"GW","Go",1,79,1,19,"neutral","Win",NA,"press",0,NA,"press",1
"1700",6800,"SMLV0104",2,2,1,4,3,2572,890,458,1,"a.sham",2,"press",1,"GW","Go",1,80,1,20,"win","Win","win","press",1,"press",NA,NA
"1701",6804,"SMLV0104",6,6,7,8,5,1979,795,682,1,"a.sham",2,"press",1,"GW","Go",1,84,2,1,"win","Win","win","press",1,"press","press",1
"1702",6807,"SMLV0104",6,6,7,8,5,1743,938,653,1,"a.sham",2,"press",1,"GW","Go",1,87,2,2,"win","Win","win","press",1,"press","press",1
"1703",6809,"SMLV0104",6,6,7,8,5,2086,542,812,1,"a.sham",2,"press",1,"GW","Go",1,89,2,3,"win","Win","win","press",1,"press","press",1
"1704",6812,"SMLV0104",6,6,7,8,5,1874,780,665,1,"a.sham",2,"press",1,"GW","Go",1,92,2,4,"win","Win","win","press",1,"press","press",1
"1705",6814,"SMLV0104",6,6,7,8,5,2521,863,532,0,"a.sham",2,"press",1,"GW","Go",1,94,2,5,"neutral","Win",NA,"press",0,NA,"press",1
"1706",6815,"SMLV0104",6,6,7,8,5,2107,942,750,1,"a.sham",2,"press",1,"GW","Go",1,95,2,6,"win","Win","win","press",1,"press","press",1
"1707",6827,"SMLV0104",6,6,7,8,5,1997,980,698,0,"a.sham",2,"press",1,"GW","Go",1,107,2,7,"neutral","Win",NA,"press",0,NA,"press",1
"1708",6828,"SMLV0104",6,6,7,8,5,1770,521,492,1,"a.sham",2,"press",1,"GW","Go",1,108,2,8,"win","Win","win","press",1,"press","press",1
"1709",6837,"SMLV0104",6,6,7,8,5,2403,620,510,1,"a.sham",2,"press",1,"GW","Go",1,117,2,9,"win","Win","win","press",1,"press","press",1
"1710",6841,"SMLV0104",6,6,7,8,5,1671,561,576,1,"a.sham",2,"press",1,"GW","Go",1,121,2,10,"win","Win","win","press",1,"press","press",1
"1711",6843,"SMLV0104",6,6,7,8,5,1989,648,586,1,"a.sham",2,"press",1,"GW","Go",1,123,2,11,"win","Win","win","press",1,"press","press",1
"1712",6852,"SMLV0104",6,6,7,8,5,2040,688,1147,1,"a.sham",2,"press",1,"GW","Go",1,132,2,12,"win","Win","win","press",1,"press","press",1
"1713",6855,"SMLV0104",6,6,7,8,5,1474,912,542,0,"a.sham",2,"press",1,"GW","Go",1,135,2,13,"neutral","Win",NA,"press",0,NA,"press",1
"1714",6857,"SMLV0104",6,6,7,8,5,2194,728,629,1,"a.sham",2,"press",1,"GW","Go",1,137,2,14,"win","Win","win","press",1,"press","press",1
"1715",6861,"SMLV0104",6,6,7,8,5,2053,946,514,1,"a.sham",2,"press",1,"GW","Go",1,141,2,15,"win","Win","win","press",1,"press","press",1
"1716",6867,"SMLV0104",6,6,7,8,5,1614,857,452,1,"a.sham",2,"press",1,"GW","Go",1,147,2,16,"win","Win","win","press",1,"press","press",1
"1717",6870,"SMLV0104",6,6,7,8,5,2048,813,512,1,"a.sham",2,"press",1,"GW","Go",1,150,2,17,"win","Win","win","press",1,"press","press",1
"1718",6877,"SMLV0104",6,6,7,8,5,2127,878,588,1,"a.sham",2,"press",1,"GW","Go",1,157,2,18,"win","Win","win","press",1,"press","press",1
"1719",6879,"SMLV0104",6,6,7,8,5,2335,670,582,0,"a.sham",2,"press",1,"GW","Go",1,159,2,19,"neutral","Win",NA,"press",0,NA,"press",1
"1720",6880,"SMLV0104",6,6,7,8,5,2074,692,812,1,"a.sham",2,"press",1,"GW","Go",1,160,2,20,"win","Win","win","no_press",1,"no_press",NA,NA
"1721",6885,"SMLV0104",12,12,9,10,11,2008,569,0,0,"a.sham",2,"no_press",0,"GW","Go",0,165,3,1,"neutral","Win",NA,"press",1,"press","press",1
"1722",6893,"SMLV0104",12,12,9,10,11,1247,678,1085,1,"a.sham",2,"press",1,"GW","Go",1,173,3,2,"win","Win","win","press",1,"press","press",1
"1723",6894,"SMLV0104",12,12,9,10,11,1349,894,600,1,"a.sham",2,"press",1,"GW","Go",1,174,3,3,"win","Win","win","press",1,"press","press",1
"1724",6896,"SMLV0104",12,12,9,10,11,1205,555,733,1,"a.sham",2,"press",1,"GW","Go",1,176,3,4,"win","Win","win","press",1,"press","press",1
"1725",6900,"SMLV0104",12,12,9,10,11,2422,656,682,1,"a.sham",2,"press",1,"GW","Go",1,180,3,5,"win","Win","win","press",1,"press","press",1
"1726",6901,"SMLV0104",12,12,9,10,11,1469,842,646,1,"a.sham",2,"press",1,"GW","Go",1,181,3,6,"win","Win","win","press",1,"press","press",1
"1727",6902,"SMLV0104",12,12,9,10,11,1874,921,476,1,"a.sham",2,"press",1,"GW","Go",1,182,3,7,"win","Win","win","press",1,"press","press",1
"1728",6908,"SMLV0104",12,12,9,10,11,2927,886,685,0,"a.sham",2,"press",1,"GW","Go",1,188,3,8,"neutral","Win",NA,"press",0,NA,"press",1
"1729",6914,"SMLV0104",12,12,9,10,11,1567,822,744,0,"a.sham",2,"press",1,"GW","Go",1,194,3,9,"neutral","Win",NA,"press",0,NA,"press",1
"1730",6915,"SMLV0104",12,12,9,10,11,1513,902,683,1,"a.sham",2,"press",1,"GW","Go",1,195,3,10,"win","Win","win","press",1,"press","press",1
"1731",6918,"SMLV0104",12,12,9,10,11,1759,983,546,1,"a.sham",2,"press",1,"GW","Go",1,198,3,11,"win","Win","win","press",1,"press","press",1
"1732",6922,"SMLV0104",12,12,9,10,11,1615,903,486,0,"a.sham",2,"press",1,"GW","Go",1,202,3,12,"neutral","Win",NA,"press",0,NA,"press",1
"1733",6924,"SMLV0104",12,12,9,10,11,2255,992,550,1,"a.sham",2,"press",1,"GW","Go",1,204,3,13,"win","Win","win","press",1,"press","press",1
"1734",6925,"SMLV0104",12,12,9,10,11,2203,886,452,1,"a.sham",2,"press",1,"GW","Go",1,205,3,14,"win","Win","win","press",1,"press","press",1
"1735",6927,"SMLV0104",12,12,9,10,11,2190,744,490,1,"a.sham",2,"press",1,"GW","Go",1,207,3,15,"win","Win","win","press",1,"press","press",1
"1736",6938,"SMLV0104",12,12,9,10,11,1212,791,426,1,"a.sham",2,"press",1,"GW","Go",1,218,3,16,"win","Win","win","press",1,"press","press",1
"1737",6945,"SMLV0104",12,12,9,10,11,2334,950,521,1,"a.sham",2,"press",1,"GW","Go",1,225,3,17,"win","Win","win","press",1,"press","press",1
"1738",6951,"SMLV0104",12,12,9,10,11,1181,853,525,1,"a.sham",2,"press",1,"GW","Go",1,231,3,18,"win","Win","win","press",1,"press","press",1
"1739",6952,"SMLV0104",12,12,9,10,11,2071,979,558,1,"a.sham",2,"press",1,"GW","Go",1,232,3,19,"win","Win","win","press",1,"press","press",1
"1740",6954,"SMLV0104",12,12,9,10,11,1330,812,745,0,"a.sham",2,"press",1,"GW","Go",1,234,3,20,"neutral","Win",NA,"no_press",0,NA,NA,NA
"1741",6967,"SMLV0104",16,16,13,14,15,1646,859,0,0,"a.sham",2,"no_press",0,"GW","Go",0,247,4,1,"neutral","Win",NA,"press",1,"press","press",1
"1742",6970,"SMLV0104",16,16,13,14,15,1600,602,408,1,"a.sham",2,"press",1,"GW","Go",1,250,4,2,"win","Win","win","press",1,"press","press",1
"1743",6971,"SMLV0104",16,16,13,14,15,1485,833,597,1,"a.sham",2,"press",1,"GW","Go",1,251,4,3,"win","Win","win","press",1,"press","press",1
"1744",6972,"SMLV0104",16,16,13,14,15,2649,722,445,1,"a.sham",2,"press",1,"GW","Go",1,252,4,4,"win","Win","win","press",1,"press","press",1
"1745",6973,"SMLV0104",16,16,13,14,15,1439,709,385,1,"a.sham",2,"press",1,"GW","Go",1,253,4,5,"win","Win","win","press",1,"press","press",1
"1746",6981,"SMLV0104",16,16,13,14,15,1636,553,578,0,"a.sham",2,"press",1,"GW","Go",1,261,4,6,"neutral","Win",NA,"press",0,NA,"press",1
"1747",6983,"SMLV0104",16,16,13,14,15,3539,980,568,1,"a.sham",2,"press",1,"GW","Go",1,263,4,7,"win","Win","win","press",1,"press","press",1
"1748",6985,"SMLV0104",16,16,13,14,15,2800,786,600,1,"a.sham",2,"press",1,"GW","Go",1,265,4,8,"win","Win","win","press",1,"press","press",1
"1749",6990,"SMLV0104",16,16,13,14,15,2128,824,413,1,"a.sham",2,"press",1,"GW","Go",1,270,4,9,"win","Win","win","press",1,"press","press",1
"1750",6997,"SMLV0104",16,16,13,14,15,1794,904,545,1,"a.sham",2,"press",1,"GW","Go",1,277,4,10,"win","Win","win","press",1,"press","press",1
"1751",6998,"SMLV0104",16,16,13,14,15,1623,707,485,1,"a.sham",2,"press",1,"GW","Go",1,278,4,11,"win","Win","win","press",1,"press","press",1
"1752",7001,"SMLV0104",16,16,13,14,15,1960,835,662,1,"a.sham",2,"press",1,"GW","Go",1,281,4,12,"win","Win","win","press",1,"press","press",1
"1753",7006,"SMLV0104",16,16,13,14,15,1539,711,553,0,"a.sham",2,"press",1,"GW","Go",1,286,4,13,"neutral","Win",NA,"press",0,NA,"press",1
"1754",7008,"SMLV0104",16,16,13,14,15,2525,954,517,0,"a.sham",2,"press",1,"GW","Go",1,288,4,14,"neutral","Win",NA,"press",0,NA,"press",1
"1755",7014,"SMLV0104",16,16,13,14,15,2926,633,521,1,"a.sham",2,"press",1,"GW","Go",1,294,4,15,"win","Win","win","press",1,"press","press",1
"1756",7021,"SMLV0104",16,16,13,14,15,2014,755,558,1,"a.sham",2,"press",1,"GW","Go",1,301,4,16,"win","Win","win","press",1,"press","press",1
"1757",7024,"SMLV0104",16,16,13,14,15,1919,915,510,1,"a.sham",2,"press",1,"GW","Go",1,304,4,17,"win","Win","win","press",1,"press","press",1
"1758",7026,"SMLV0104",16,16,13,14,15,2147,587,506,0,"a.sham",2,"press",1,"GW","Go",1,306,4,18,"neutral","Win",NA,"press",0,NA,"press",1
"1759",7028,"SMLV0104",16,16,13,14,15,1782,852,444,1,"a.sham",2,"press",1,"GW","Go",1,308,4,19,"win","Win","win","press",1,"press","press",1
"1760",7032,"SMLV0104",16,16,13,14,15,3179,606,484,1,"a.sham",2,"press",1,"GW","Go",1,312,4,20,"win","Win","win",NA,1,NA,NA,NA
"1761",7041,"SNRB0400",4,4,3,2,1,2075,817,555,1,"a.sham",3,"press",1,"GW","Go",1,1,1,1,"win","Win","win","press",1,"press","press",1
"1762",7042,"SNRB0400",4,4,3,2,1,2209,915,628,1,"a.sham",3,"press",1,"GW","Go",1,2,1,2,"win","Win","win","press",1,"press","press",1
"1763",7046,"SNRB0400",4,4,3,2,1,2415,902,533,1,"a.sham",3,"press",1,"GW","Go",1,6,1,3,"win","Win","win","press",1,"press","press",1
"1764",7050,"SNRB0400",4,4,3,2,1,1904,886,501,1,"a.sham",3,"press",1,"GW","Go",1,10,1,4,"win","Win","win","press",1,"press","press",1
"1765",7058,"SNRB0400",4,4,3,2,1,1800,976,496,1,"a.sham",3,"press",1,"GW","Go",1,18,1,5,"win","Win","win","press",1,"press","press",1
"1766",7061,"SNRB0400",4,4,3,2,1,2394,899,521,0,"a.sham",3,"press",1,"GW","Go",1,21,1,6,"neutral","Win",NA,"press",0,NA,"press",1
"1767",7063,"SNRB0400",4,4,3,2,1,2336,994,433,1,"a.sham",3,"press",1,"GW","Go",1,23,1,7,"win","Win","win","press",1,"press","press",1
"1768",7076,"SNRB0400",4,4,3,2,1,1923,753,499,1,"a.sham",3,"press",1,"GW","Go",1,36,1,8,"win","Win","win","press",1,"press","press",1
"1769",7077,"SNRB0400",4,4,3,2,1,2186,942,470,1,"a.sham",3,"press",1,"GW","Go",1,37,1,9,"win","Win","win","press",1,"press","press",1
"1770",7081,"SNRB0400",4,4,3,2,1,1439,679,507,1,"a.sham",3,"press",1,"GW","Go",1,41,1,10,"win","Win","win","press",1,"press","press",1
"1771",7085,"SNRB0400",4,4,3,2,1,1305,878,551,1,"a.sham",3,"press",1,"GW","Go",1,45,1,11,"win","Win","win","press",1,"press","press",1
"1772",7091,"SNRB0400",4,4,3,2,1,2475,794,465,1,"a.sham",3,"press",1,"GW","Go",1,51,1,12,"win","Win","win","press",1,"press","press",1
"1773",7093,"SNRB0400",4,4,3,2,1,1989,891,619,1,"a.sham",3,"press",1,"GW","Go",1,53,1,13,"win","Win","win","press",1,"press","press",1
"1774",7094,"SNRB0400",4,4,3,2,1,2103,594,470,0,"a.sham",3,"press",1,"GW","Go",1,54,1,14,"neutral","Win",NA,"press",0,NA,"press",1
"1775",7096,"SNRB0400",4,4,3,2,1,1222,708,492,1,"a.sham",3,"press",1,"GW","Go",1,56,1,15,"win","Win","win","press",1,"press","press",1
"1776",7106,"SNRB0400",4,4,3,2,1,2353,688,445,0,"a.sham",3,"press",1,"GW","Go",1,66,1,16,"neutral","Win",NA,"press",0,NA,"press",1
"1777",7108,"SNRB0400",4,4,3,2,1,1776,922,496,0,"a.sham",3,"press",1,"GW","Go",1,68,1,17,"neutral","Win",NA,"press",0,NA,"press",1
"1778",7109,"SNRB0400",4,4,3,2,1,2103,793,362,1,"a.sham",3,"press",1,"GW","Go",1,69,1,18,"win","Win","win","press",1,"press","press",1
"1779",7110,"SNRB0400",4,4,3,2,1,1477,735,443,1,"a.sham",3,"press",1,"GW","Go",1,70,1,19,"win","Win","win","press",1,"press","press",1
"1780",7116,"SNRB0400",4,4,3,2,1,2084,757,542,1,"a.sham",3,"press",1,"GW","Go",1,76,1,20,"win","Win","win","press",1,"press",NA,NA
"1781",7121,"SNRB0400",6,6,5,8,7,2659,759,687,1,"a.sham",3,"press",1,"GW","Go",1,81,2,1,"win","Win","win","press",1,"press","press",1
"1782",7123,"SNRB0400",6,6,5,8,7,1498,575,714,1,"a.sham",3,"press",1,"GW","Go",1,83,2,2,"win","Win","win","press",1,"press","press",1
"1783",7125,"SNRB0400",6,6,5,8,7,2224,530,661,1,"a.sham",3,"press",1,"GW","Go",1,85,2,3,"win","Win","win","press",1,"press","press",1
"1784",7127,"SNRB0400",6,6,5,8,7,1000,750,532,1,"a.sham",3,"press",1,"GW","Go",1,87,2,4,"win","Win","win","press",1,"press","press",1
"1785",7139,"SNRB0400",6,6,5,8,7,1929,578,524,1,"a.sham",3,"press",1,"GW","Go",1,99,2,5,"win","Win","win","press",1,"press","press",1
"1786",7141,"SNRB0400",6,6,5,8,7,1564,562,567,1,"a.sham",3,"press",1,"GW","Go",1,101,2,6,"win","Win","win","press",1,"press","press",1
"1787",7143,"SNRB0400",6,6,5,8,7,2757,958,501,1,"a.sham",3,"press",1,"GW","Go",1,103,2,7,"win","Win","win","press",1,"press","press",1
"1788",7147,"SNRB0400",6,6,5,8,7,1522,584,545,1,"a.sham",3,"press",1,"GW","Go",1,107,2,8,"win","Win","win","press",1,"press","press",1
"1789",7163,"SNRB0400",6,6,5,8,7,2411,502,667,1,"a.sham",3,"press",1,"GW","Go",1,123,2,9,"win","Win","win","press",1,"press","press",1
"1790",7165,"SNRB0400",6,6,5,8,7,1752,527,617,1,"a.sham",3,"press",1,"GW","Go",1,125,2,10,"win","Win","win","press",1,"press","press",1
"1791",7168,"SNRB0400",6,6,5,8,7,2518,524,515,0,"a.sham",3,"press",1,"GW","Go",1,128,2,11,"neutral","Win",NA,"press",0,NA,"press",1
"1792",7169,"SNRB0400",6,6,5,8,7,3438,915,486,1,"a.sham",3,"press",1,"GW","Go",1,129,2,12,"win","Win","win","press",1,"press","press",1
"1793",7172,"SNRB0400",6,6,5,8,7,1801,837,563,0,"a.sham",3,"press",1,"GW","Go",1,132,2,13,"neutral","Win",NA,"press",0,NA,"press",1
"1794",7173,"SNRB0400",6,6,5,8,7,1468,567,673,1,"a.sham",3,"press",1,"GW","Go",1,133,2,14,"win","Win","win","press",1,"press","press",1
"1795",7181,"SNRB0400",6,6,5,8,7,1965,902,590,1,"a.sham",3,"press",1,"GW","Go",1,141,2,15,"win","Win","win","press",1,"press","press",1
"1796",7184,"SNRB0400",6,6,5,8,7,2174,648,470,0,"a.sham",3,"press",1,"GW","Go",1,144,2,16,"neutral","Win",NA,"press",0,NA,"press",1
"1797",7191,"SNRB0400",6,6,5,8,7,1929,666,487,1,"a.sham",3,"press",1,"GW","Go",1,151,2,17,"win","Win","win","press",1,"press","press",1
"1798",7192,"SNRB0400",6,6,5,8,7,2247,988,638,1,"a.sham",3,"press",1,"GW","Go",1,152,2,18,"win","Win","win","press",1,"press","press",1
"1799",7193,"SNRB0400",6,6,5,8,7,1783,617,445,0,"a.sham",3,"press",1,"GW","Go",1,153,2,19,"neutral","Win",NA,"press",0,NA,"press",1
"1800",7200,"SNRB0400",6,6,5,8,7,2071,738,503,1,"a.sham",3,"press",1,"GW","Go",1,160,2,20,"win","Win","win","press",1,"press",NA,NA
"1801",7208,"SNRB0400",10,10,9,12,11,1513,667,609,0,"a.sham",3,"press",1,"GW","Go",1,168,3,1,"neutral","Win",NA,"press",0,NA,"press",1
"1802",7209,"SNRB0400",10,10,9,12,11,2328,585,404,1,"a.sham",3,"press",1,"GW","Go",1,169,3,2,"win","Win","win","press",1,"press","press",1
"1803",7213,"SNRB0400",10,10,9,12,11,2498,556,366,1,"a.sham",3,"press",1,"GW","Go",1,173,3,3,"win","Win","win","press",1,"press","press",1
"1804",7216,"SNRB0400",10,10,9,12,11,2135,849,533,0,"a.sham",3,"press",1,"GW","Go",1,176,3,4,"neutral","Win",NA,"press",0,NA,"press",1
"1805",7222,"SNRB0400",10,10,9,12,11,2439,782,413,1,"a.sham",3,"press",1,"GW","Go",1,182,3,5,"win","Win","win","press",1,"press","press",1
"1806",7223,"SNRB0400",10,10,9,12,11,1756,540,511,1,"a.sham",3,"press",1,"GW","Go",1,183,3,6,"win","Win","win","press",1,"press","press",1
"1807",7224,"SNRB0400",10,10,9,12,11,2164,696,424,1,"a.sham",3,"press",1,"GW","Go",1,184,3,7,"win","Win","win","press",1,"press","press",1
"1808",7228,"SNRB0400",10,10,9,12,11,2100,715,617,1,"a.sham",3,"press",1,"GW","Go",1,188,3,8,"win","Win","win","press",1,"press","press",1
"1809",7229,"SNRB0400",10,10,9,12,11,1773,900,528,0,"a.sham",3,"press",1,"GW","Go",1,189,3,9,"neutral","Win",NA,"press",0,NA,"press",1
"1810",7233,"SNRB0400",10,10,9,12,11,2606,508,590,0,"a.sham",3,"press",1,"GW","Go",1,193,3,10,"neutral","Win",NA,"press",0,NA,"press",1
"1811",7237,"SNRB0400",10,10,9,12,11,2307,557,489,1,"a.sham",3,"press",1,"GW","Go",1,197,3,11,"win","Win","win","press",1,"press","press",1
"1812",7239,"SNRB0400",10,10,9,12,11,1748,809,529,1,"a.sham",3,"press",1,"GW","Go",1,199,3,12,"win","Win","win","press",1,"press","press",1
"1813",7245,"SNRB0400",10,10,9,12,11,2434,766,493,1,"a.sham",3,"press",1,"GW","Go",1,205,3,13,"win","Win","win","press",1,"press","press",1
"1814",7247,"SNRB0400",10,10,9,12,11,1774,723,496,1,"a.sham",3,"press",1,"GW","Go",1,207,3,14,"win","Win","win","press",1,"press","press",1
"1815",7250,"SNRB0400",10,10,9,12,11,2446,883,476,1,"a.sham",3,"press",1,"GW","Go",1,210,3,15,"win","Win","win","press",1,"press","press",1
"1816",7254,"SNRB0400",10,10,9,12,11,2737,774,431,1,"a.sham",3,"press",1,"GW","Go",1,214,3,16,"win","Win","win","press",1,"press","press",1
"1817",7259,"SNRB0400",10,10,9,12,11,2199,629,498,1,"a.sham",3,"press",1,"GW","Go",1,219,3,17,"win","Win","win","press",1,"press","press",1
"1818",7265,"SNRB0400",10,10,9,12,11,1834,962,520,1,"a.sham",3,"press",1,"GW","Go",1,225,3,18,"win","Win","win","press",1,"press","press",1
"1819",7269,"SNRB0400",10,10,9,12,11,2547,844,580,1,"a.sham",3,"press",1,"GW","Go",1,229,3,19,"win","Win","win","press",1,"press","press",1
"1820",7274,"SNRB0400",10,10,9,12,11,2493,805,558,1,"a.sham",3,"press",1,"GW","Go",1,234,3,20,"win","Win","win","press",1,"press",NA,NA
"1821",7281,"SNRB0400",16,16,15,14,13,1643,546,370,1,"a.sham",3,"press",1,"GW","Go",1,241,4,1,"win","Win","win","press",1,"press","press",1
